Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/services,/offers,1,1,1,0.00%,0.00%,21m 53s,2s,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,17.4.1,iOS,98.206.217.54,No,No,/jobs,/contact-us,1,1,1,0.00%,0.00%,4m 06s,20s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/faq,/services,1,1,1,0.00%,0.00%,4m 13s,31s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/business-directory,/,1,1,1,0.00%,0.00%,22m 32s,4s,1
2024-05-20,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/testimonials,https://schaumburgmarketplace.net/testimonials,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/,/about-us,1,1,1,0.00%,0.00%,9m 23s,7m 26s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/jobs,/events,1,1,1,0.00%,0.00%,43m 40s,3s,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,17.4.1,iOS,98.206.217.54,No,No,/offers,/jobs,1,1,1,0.00%,0.00%,4m 06s,25s,1
2024-05-16,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,No,No,/news-1,/services,1,1,1,0.00%,0.00%,2m 36s,10s,1
2024-05-09,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/,/jobs,1,1,1,0.00%,0.00%,1m 05s,4s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/testimonials,https://schaumburgmarketplace.net/testimonials,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/faq,1,1,1,0.00%,0.00%,34s,4s,1
